Spotify Rank,song_name,song_artist,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
50,Falling Away from Me,Korn,0.4742,0.7695,0.7864,0.0436,0.0001,0.0012,0.2667,0.1728,0.4296
51,Crawling In The Dark,Hoobastank,0.5998,0.9329,0.8494,0.0940,0.0003,0.0001,0.1303,0.7093,0.3866
52,I Stand Alone,Godsmack,0.2158,0.9309,0.8498,0.0713,0.0000,0.0000,0.1180,0.3923,0.6983
53,Woman,Wolfmother,0.2219,0.9529,0.8710,0.1870,0.0001,0.0992,0.1498,0.1748,0.4659
54,Show Me How to Live,Audioslave,0.4387,0.8547,0.8649,0.0513,0.0003,0.0002,0.1550,0.3740,0.3689
55,The Red,Chevelle,0.5157,0.8437,0.8785,0.0519,0.0007,0.0008,0.3457,0.3374,0.5780
56,Remedy,Seether,0.5532,0.9599,0.8451,0.0871,0.0002,0.0014,0.0487,0.4228,0.5275
57,Plug In Baby,Muse,0.4134,0.9659,0.8558,0.0531,0.0000,0.0004,0.1016,0.3547,0.5613
58,Change (In the House of Flies) - In The House Of Flies LP Version,Deftones,0.2725,0.8537,0.8456,0.0908,0.0002,0.0002,0.1098,0.1819,0.5843
59,Judith,A Perfect Circle,0.3698,0.8948,0.8447,0.0608,0.0000,0.1715,0.2626,0.3150,0.3397
60,MIA (feat. Drake),Bad Bunny,0.8288,0.5400,0.8034,0.0578,0.0144,0.0005,0.0903,0.1768,0.4006
61,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,0.8521,0.7986,0.8565,0.2434,0.1536,0.0000,0.0522,0.6006,0.3960
62,White Boi,Dillon Francis,0.8409,0.4970,0.7887,0.0553,0.0987,0.0000,0.0817,0.6443,0.5281
63,Just Wanna Love You (feat. J. Balvin),Cris Cab,0.6960,0.7665,0.8101,0.0574,0.0559,0.0011,0.1385,0.3079,0.3919
64,Beautiful (feat. Camila Cabello),Bazzi,0.6464,0.7174,0.8437,0.0358,0.3474,0.0000,0.0965,0.2530,0.4128
65,Celoso,Lele Pons,0.7558,0.7034,0.8572,0.1137,0.3534,0.0000,0.3283,0.6778,0.6852
66,Good Vibes,Fuego,0.8338,0.6302,0.8633,0.0847,0.0349,0.0000,0.0877,0.1870,0.4128
67,Real Friends,Camila Cabello,0.7102,0.5120,0.7905,0.1030,0.2359,0.0000,0.1273,0.6738,0.3794
68,Pa La Calle,COASTCITY,0.7042,0.8848,0.8051,0.1392,0.1175,0.0000,0.0955,0.8679,0.3095
69,Pa Mí,Dalex,0.7315,0.5841,0.7509,0.3379,0.7189,0.0003,0.1068,0.6565,0.7015
70,Wake Up in the Sky,Gucci Mane,0.8105,0.5781,0.8332,0.0515,0.0038,0.0000,0.3570,0.3730,0.5902
71,Está Rico,Marc Anthony,0.8278,0.7405,0.8476,0.3007,0.2671,0.0000,0.0906,0.6850,0.5367
72,Banana Clip - Spanish Version,Miguel,0.4032,0.6603,0.8213,0.1275,0.1074,0.0000,0.1129,0.7307,0.3459
